# from Bahé, Yannick M. and Barnes, David J. and Dalla Vecchia, Claudio and Kay, Scott T. and White, Simon D. M. and McCarthy, Ian G. and Schaye, Joop and Bower, Richard G. and Crain, Robert A. and Theuns, Tom and Jenkins, Adrian and McGee, Sean L. and Schaller, Matthieu and Thomas, Peter A. and Trayford, James W.
# The Hydrangea simulations: galaxy formation in and around massive clusters
# data for redshift zero
# 1st 24: data out to 10r200c, last 6: data out to 5r200c
Halo	r200c	r200m	r500c	M200c	M200m	M500c	Mstar500c	x	y	z	cNFW	D5	Ngalaxies 	 
ID		(pMpc)					[log10(M/M⊙)]						(pMpc) 	 			(pMpc)	<r200c	<10r200c 
CE-0 	1.03 	1.74 	0.68 	14.07 	14.24 	13.92 	12.21 	313.65 	2218.64 	2652.71 	5.3 	11.4 	36 	181 
CE-1 	1.02 	1.63 	0.65 	14.05 	14.15 	13.87 	12.16 	2598.97 	2552.80 	2266.29 	3.7 	6.9 	34 	163 
CE-2 	1.02 	1.63 	0.65 	14.05 	14.15 	13.87 	12.16 	2889.69 	2880.09 	355.44 	6.1 	15.8 	34 	163 
CE-3 	1.09 	1.84 	0.70 	14.14 	14.31 	13.97 	12.15 	2608.58 	2831.41 	908.38 	6.5 	9.9 	49 	243 
CE-4 	1.17 	1.89 	0.78 	14.23 	14.34 	14.10 	12.29 	1720.84 	2253.49 	2670.52 	4.2 	5.2 	68 	322 
CE-5 	1.09 	1.90 	0.72 	14.15 	14.35 	13.99 	12.29 	583.22 	908.50 	1669.79 	6.7 	14.2 	42 	294 
CE-6 	1.27 	2.16 	0.81 	14.34 	14.52 	14.15 	12.35 	2624.03 	2241.14 	304.69 	3.6 	17.6 	76 	380 
CE-7 	1.27 	2.17 	0.81 	14.34 	14.53 	14.16 	12.37 	1272.32 	2452.95 	1288.05 	4.6 	7.5 	76 	452 
CE-8 	1.23 	2.12 	0.79 	14.30 	14.49 	14.12 	12.36 	486.08 	735.81 	357.66 	4.5 	16.2 	67 	338 
CE-9 	1.39 	2.36 	0.92 	14.46 	14.63 	14.32 	12.48 	1368.63 	1452.69 	2207.20 	5.2 	9.1 	84 	486 
CE-10 	1.29 	2.21 	0.82 	14.36 	14.55 	14.17 	12.45 	2616.89 	1602.52 	1876.43 	4.8 	10.3 	90 	446 
CE-11 	1.43 	2.34 	0.94 	14.49 	14.63 	14.35 	12.51 	2564.49 	678.34 	1356.74 	6.5 	8.8 	109 	537 
CE-12 	1.55 	2.49 	1.03 	14.60 	14.71 	14.47 	12.71 	1165.85 	1386.20 	1010.20 	4.7 	26.5 	148 	506 
CE-13 	1.57 	2.52 	1.07 	14.61 	14.72 	14.51 	12.63 	998.80 	1511.46 	1963.65 	6.3 	11.4 	131 	498 
CE-14 	1.62 	2.66 	0.98 	14.66 	14.79 	14.41 	12.52 	276.94 	1459.94 	2042.48 	2.5 	10.8 	179 	734 
CE-15 	1.71 	2.73 	1.05 	14.73 	14.83 	14.49 	12.74 	2015.45 	737.45 	1738.86 	2.2 	6.4 	203 	957 
CE-16 	1.74 	2.84 	1.17 	14.75 	14.88 	14.63 	12.76 	717.52 	2244.68 	609.33 	7.0 	9.2 	202 	1179 
CE-18 	1.87 	3.03 	1.23 	14.84 	14.96 	14.70 	12.64 	793.71 	864.02 	1612.59 	4.8 	27.0 	261 	1061 
CE-21 	1.99 	3.34 	1.24 	14.93 	15.09 	14.71 	12.87 	1139.47 	909.91 	948.80 	3.3 	11.9 	306 	1901 
CE-22 	2.14 	3.72 	1.39 	15.02 	15.23 	14.86 	12.85 	2078.36 	2319.21 	843.85 	4.4 	5.2 	362 	3153 
CE-24 	2.27 	3.61 	1.52 	15.09 	15.19 	14.97 	12.82 	306.88 	996.23 	2870.46 	5.0 	21.9 	425 	1701 
CE-25 	2.36 	3.87 	1.47 	15.15 	15.28 	14.93 	12.91 	1028.05 	1272.37 	1276.27 	2.5 	20.6 	497 	2185 
CE-28 	2.50 	4.06 	1.68 	15.22 	15.34 	15.10 	13.02 	1390.16 	1049.82 	2040.15 	3.7 	16.2 	556 	2804 
CE-29 	2.82 	4.61 	1.61 	15.38 	15.51 	15.04 	12.96 	1070.13 	2140.38 	1498.16 	1.8 	30.1 	826 	3788 
CE-17 	1.65 	2.74 	1.02 	14.68 	14.83 	14.45 	13.07 	216.56 	1847.43 	2889.33 	2.7 	14.5 	180 	381† 
CE-19 	1.86 	3.07 	1.21 	14.84 	14.98 	14.68 	13.13 	805.68 	319.03 	1136.84 	3.4 	9.0 	291 	704† 
CE-20 	1.77 	2.87 	1.16 	14.78 	14.89 	14.62 	13.15 	2693.84 	1783.70 	2955.12 	5.0 	14.4 	216 	449† 
CE-23 	1.99 	3.34 	1.31 	14.92 	15.09 	14.77 	12.92 	2033.86 	2989.23 	2715.06 	3.1 	10.0 	314 	848† 
CE-26 	2.39 	3.89 	1.56 	15.16 	15.29 	15.00 	13.23 	2818.50 	1262.96 	1993.58 	5.5 	11.6 	468 	1083† 
CE-27 	2.39 	3.82 	1.64 	15.16 	15.26 	15.07 	13.16 	2646.97 	913.51 	2629.65 	7.2 	20.2 	252 	475† 
